city,km5,km10,km15,km20,hm,km25,km30,km35,km40,time,cat,place,cat_place
Schiedam,1590,3141,4693,6328,6671,7884,9457,11012,12613,13308,MSR,2651,585
NSL,1662,3251,4841,6415,6756,7974,9516,11010,12551,13223,M55,2611,111
Assen,1687,3444,5201,6969,7342,8742,10526,12269,14058,14853,M40,4885,935
Delft,1395,2736,4078,5373,5666,6691,8094,9719,11235,11879,M35,1257,219
Woerden,1767,3504,5241,6974,7420,8791,10558,12358,14312,15178,M35,5463,702
Windsbach,1356,2672,3988,5321,5627,6691,8105,9565,11096,11754,M45,1015,188
Les Fonts Terrassa,1441,2808,4176,5595,5909,7012,8466,10352,12100,12874,M60,2150,33
Woerden,1619,3232,4846,6503,6877,8192,9886,11788,13737,14650,MSR,4865,961
Nijmegen,1659,3263,4867,6450,6802,8054,9685,11443,13302,14104,M40,4015,793
Terrassa,1409,2746,4084,5441,5744,6800,8167,9567,11033,11645,M50,972,82
De Kieviten,1660,3360,5060,6724,7101,8423,10124,11780,13399,14080,M35,4013,558
Zomergem (Ronsele),1693,3360,5028,6709,7096,8435,10205,12118,14062,14917,M40,5172,979
Maastricht,1589,3152,4716,6280,6626,7847,9403,11029,12691,13379,M45,2721,497
Dordrecht,1608,3186,4765,6386,6762,8074,9848,11813,13840,14743,MSR,4901,966
Almere,1750,3412,5075,6751,7158,8534,10372,12387,14431,15189,M35,5497,704
Naaldwijk,1226,2484,3743,5016,5299,6303,7590,8916,10349,10988,M35,598,110
Rotterdam,1390,2710,4031,5375,5675,6742,8146,9577,10962,11538,M50,847,65
Putten,1856,3659,5462,7262,7691,9246,10970,12676,14552,15265,M45,5711,956
Rotterdam,1654,3294,4935,6605,6979,8316,10105,11958,13865,14712,MSR,4853,957
Derby,1289,2458,3627,4803,5072,6013,7277,8591,10191,10871,M40,558,103
Rijswijk Nb,1651,3333,5016,6754,7137,8458,10175,11839,13598,14324,M45,4339,767
Brisbane,1477,2939,4401,5960,6306,8056,9633,11796,14450,15285,M40,5421,1013
Hilversum,1479,2958,4438,5925,6262,7429,8946,10488,12072,12775,M50,2056,211
's-Gravenhage,1795,3565,5336,7160,7558,8947,10739,12621,14629,15440,MSR,5875,1112
Leiden Road Runners Club,1788,3611,5434,7353,7792,9300,11377,13510,15848,16844,M45,6781,1130
Teuge,1675,3288,4901,6510,6888,8134,9744,11402,13142,13860,M50,3964,451
AV '47,1383,2786,4189,5619,5947,7093,8601,10227,11989,12731,M65,1852,3
Anna Paulowna,1730,3421,5113,6830,7211,8574,10383,12255,14230,15041,M35,5325,687
Rotterdam,1874,3753,5632,7592,8031,9624,11919,14369,16860,17830,M40,7279,1241
Assevent,1220,2410,3601,4833,5117,6108,7395,8686,9996,10569,M50,385,23
Wijk aan Zee,1725,3463,5202,6973,7381,8932,11053,13324,15567,16522,M45,6591,1096
Hautmont,1321,2651,3982,5340,5655,6768,8237,9776,11355,12001,M60,1196,9
Berkel-Enschot,1848,3707,5567,7478,7891,9433,11347,13290,15285,16114,M60,6505,156
Wapenveld,1758,3580,5402,7214,7654,9092,11113,13204,15411,16304,M40,6558,1160
Kessel-Lo,1443,2959,4476,6037,6393,7681,9387,11303,13229,14034,MSR,3837,791
Lekkerkerk,1624,3218,4812,6440,6809,8115,9820,11863,13972,14860,M40,4892,937
Amersfoort,1558,3087,4617,6133,6472,7672,9249,10839,12508,13252,M35,2664,402
Dussen,1577,3118,4660,6243,6580,7783,9316,10872,12485,13167,M40,2499,504
Oostende,1544,3134,4725,6368,6731,8057,9733,11557,13477,14298,M40,4053,799
Oostende,1408,2813,4218,5666,5981,7099,8521,9966,11426,12037,M45,1224,233
Rotterdam,1493,2999,4505,6018,6352,7528,9103,10941,12993,13775,M45,3341,601
Tracy Le Mont,1508,2950,4393,5866,6213,7385,8916,10504,12238,12936,M45,2153,400
's-Gravenhage,1788,3586,5384,7268,7707,9283,11433,14139,17004,17997,M40,7288,1244
NSL,1074,2170,3266,4347,4594,5446,6540,7668,8856,9377,M40,120,7
AV '47,1801,3618,5436,7261,7674,9124,11090,13328,15527,16490,M60,6675,167
Ilion,1460,2880,4300,5716,6029,7130,8536,9979,11472,12096,MSR,1345,332
Loopgroep Aart Stigter,1821,3720,5619,7482,7894,9330,11176,13169,15664,16707,MSR,6707,1208
Rotterdam Atletiek,1089,2210,3331,4469,4728,5614,6767,7926,9107,9628,M35,147,30
Vlaardingen,1591,3142,4693,6328,6671,7886,9457,11012,12613,13309,M35,2653,400
Strombeek-Bever,1753,3539,5325,7091,7485,8856,10634,12432,14255,15060,M60,5322,110
Nieuwveen,1518,2962,4407,5871,6208,7405,9015,10921,13657,14969,MSR,5108,1001
Annone Brianza,1156,2298,3440,4591,4851,5768,6950,8141,9354,9886,MSR,192,94
Dutch Runners Basic,1712,3419,5126,6800,7173,8479,10149,10408,10668,11392,M45,899,167
Vrasene,1391,2742,4094,5445,5745,6817,8198,9580,10949,11505,M35,938,167
Nootdorp,1634,3213,4792,6332,6679,7900,9477,11138,13023,13863,MSR,3485,730
De Koplopers,1130,2263,3396,4550,4807,5718,6902,8099,9309,9831,MSR,182,90
Sao Paulo,1314,2634,3955,5267,5562,6599,7940,9292,10718,11335,M40,715,143
Wateringen,1392,2745,4098,5456,5762,6845,8238,9662,11149,11801,M50,1094,100
Waddinxveen,1551,3002,4454,5903,6231,7394,8838,10318,11811,12473,M45,1648,303
Breda,1635,3278,4921,6577,6942,8220,9871,11576,13364,14115,M50,3895,445
Heenvliet,2049,3925,5802,7781,8227,9793,11829,14104,16469,17387,MSR,7147,1277
Hercules,1502,2942,4382,5733,6030,7072,8408,9796,11240,11867,M40,1177,242
Ouderkerk aan den IJssel,1489,3051,4614,6152,6505,7734,9417,11158,13116,13804,MSR,3824,789
Purmerend,1635,3213,4791,6346,6701,7942,9582,11276,13083,13862,M40,3630,719
Vlissingen,1668,3370,5073,6777,7169,8609,10631,12957,15375,16220,M40,6353,1138
Capelle aan den IJssel,1712,3372,5033,6715,7106,8469,10238,12122,14109,14985,M50,5242,606
Rijswijk Zh,1570,3124,4678,6229,6580,7834,9493,11136,12770,13424,MSR,2861,627
Hellas,1440,2884,4329,5793,6119,7265,8701,10151,11639,12274,M50,1483,148
Cork,1533,3004,4476,5965,6301,7460,8953,10505,12163,12875,MSR,2106,487
Sablé sur Sarthe,1422,2813,4204,5576,5888,6972,8351,9757,11243,11878,M45,1141,217
Rotterdam,1574,3100,4627,6172,6518,7735,9325,11192,13087,13846,M45,3615,655
Reims,1385,2706,4028,5387,5693,6786,8213,9742,11403,12076,M50,1384,135
Noord,1862,3745,5628,7514,7940,9420,11326,13303,15608,16544,M50,6742,773
Bourg En Bresse,1042,2084,3126,4253,4568,5568,6873,8197,9787,10469,M50,330,13
Loopgroep PK,1731,3457,5183,6876,7261,8614,10372,12423,14590,15521,M50,5823,681
Gouda,1888,3727,5567,7428,7838,9308,11215,13192,15323,16236,MSR,6546,1190
Oedelem,1673,3345,5018,6716,7083,8381,10023,11660,13233,13881,M50,3613,411
Loenhout,1445,2841,4238,5639,5949,7049,8472,9991,11713,12431,M35,1584,270
Etten-Leur,1731,3466,5202,6923,7305,8664,10393,12170,13942,14758,M50,4907,571
Rijnsoever,1637,3277,4918,6578,6934,8215,9855,11514,13264,13983,M50,3746,427
Nijmegen,1479,2894,4310,5728,6046,7175,8639,10146,11736,12403,MSR,1638,399
AV '40,1464,2923,4382,5863,6196,7354,8841,10359,11948,12643,M45,1818,347
Kapelle Op Den Bos,1734,3514,5294,7095,7496,8925,10791,12691,14769,15717,M45,6001,1009
Puttershoek,1888,3727,5567,7429,7839,9308,11216,13193,15323,16237,MSR,6547,1191
Rheden,1824,3619,5414,7191,7584,8939,10671,12456,14213,14876,M40,5233,987
Haag Atletiek,1560,3070,4581,6110,6465,7696,9294,10962,12670,13400,M55,2900,129
Rotterdam,1321,2635,3950,5292,5593,6683,8099,9583,11160,11811,MSR,1063,274
Rotterdam,1691,3395,5099,6798,7171,8475,10174,11927,13583,14240,M35,4533,607
Dublin,1489,2961,4434,5893,6216,7357,8818,10264,11717,12315,M35,1460,252
Schouweiler,1465,2876,4287,5658,5966,7015,8361,9715,11107,11706,M35,1045,178
's-Gravenhage,1748,3449,5150,6882,7271,8649,10509,12552,14775,15708,M35,6137,751
Evere,1590,3129,4668,6167,6502,7679,9155,10620,12125,12743,M45,2094,387
Rueil-Malmaison,1339,2672,4005,5341,5638,6663,8010,9378,10945,11601,M35,895,158
London,1701,3464,5228,6951,7349,8625,10329,12227,14290,15170,M40,5353,1001
Spijkenisse,1409,2776,4144,5523,5829,6905,8310,9789,11464,12230,MSR,1389,342
Oostdijk,1627,3209,4791,6352,6698,7930,9548,11562,13492,14307,M45,4365,771
Sable Sur Sarthe,1586,3201,4816,6497,6893,8206,10125,12602,14919,15850,M50,6055,703
De Kieviten,1551,3136,4721,6318,6667,7894,9471,11055,12648,13335,M40,2596,518
Bouxieres Aux Dames,1609,3242,4876,6559,6955,8333,10158,11904,13987,14842,M50,5036,588
Koenigsmacker,1459,2821,4183,5546,5852,6934,8332,9732,11191,11821,M40,1136,233
Jezainville,1445,2913,4382,5889,6238,7465,9038,10743,12460,13170,M35,2359,374
Beograd,1654,3334,5015,6766,7172,8581,10492,12569,14701,15608,M45,5814,969
Scopias,1310,2577,3845,5137,5431,6479,7887,9538,11189,11924,M45,1162,220
Bornheim,1632,3274,4917,6583,6963,8276,9951,11633,13302,13996,M45,4091,735
Louvain La Neuve,1601,3192,4783,6375,6750,7976,9551,11112,12735,13390,M45,2725,501
Fortuna,1293,2612,3931,5256,5552,6596,7943,9308,10723,11334,M45,707,118
Scheldesport,1410,2777,4144,5517,5827,6884,8293,9837,12252,13361,M35,2775,415
Tienen,1223,2456,3689,4941,5220,6197,7465,8792,10209,10822,MSR,524,174
Voorburg,1479,2939,4399,5833,6154,7294,8806,10310,11908,12573,M35,1903,310
AV '40,1545,3116,4687,6284,6643,7911,9548,11295,13180,14012,M45,3600,652
Breukelen Ut,1592,3175,4759,6412,6801,8344,10373,12634,14859,15714,M45,5900,987
Esch sur Alzette,1082,2183,3285,3990,4696,5559,6684,7850,9017,9552,M40,134,11
Leerdam,1773,3561,5349,7148,7555,8982,10842,13226,15638,16524,MSR,6754,1211
Prins Hendrik,1902,3822,5742,7664,8091,9570,11483,13404,15473,16335,M55,6635,364
Made,1631,3205,4780,6324,6669,7882,9452,11133,13016,13880,M40,3501,691
Lesve,1270,2547,3824,5101,5391,6411,7799,9294,10808,11458,M40,760,154
Limerick,1563,3074,4586,6061,6392,7552,9000,10450,11972,12603,M35,2034,326
Parthenon,1655,3375,5095,6792,7186,8503,10195,11914,13709,14558,M45,4817,848
Paris,1259,2522,3786,5072,5365,6405,7781,9260,10775,11374,M45,726,122
Giessen,1688,3397,5106,6800,7193,8506,10171,11829,13533,14222,MSR,4171,847
Dordrecht,1856,3703,5551,7420,7842,9372,11368,13416,15534,16429,MSR,6386,1175
Schiedam,1668,3286,4905,6548,6901,8193,9845,11515,13106,13742,MSR,3820,788
Bangor,1675,3315,4956,6598,6971,8287,9978,11759,13516,14229,M35,4208,579
PAC,1690,3394,5098,6798,7181,8535,10365,12326,14717,15795,M50,5996,698
Asnieres Sur Seine,1396,2770,4145,5535,5853,6942,8341,9720,11133,11698,M40,1021,210
Lingen,1585,3124,4664,6215,6556,7752,9287,10816,12350,13001,M35,2294,358
Tres Cantos-madrid,1218,2450,3682,4930,5209,6190,7462,8760,10128,10744,M50,474,31
Paris,1758,3535,5312,7103,7580,9089,10939,12956,15074,15925,MSR,6107,1133
Sparta,1608,3181,4754,6310,6659,7900,9529,11212,13023,13826,M45,3495,633
Oranjestad,1698,3430,5162,6925,7326,8696,10431,12212,13965,14630,M45,4684,832
Loopgroep Leeuwarden,1605,3206,4807,6423,6790,8094,9917,12040,14147,15070,MSR,5105,1000
Stavanger,1683,3347,5012,7235,7585,8927,10482,12080,13682,14347,M60,4471,87
Edam,1628,3206,4784,6320,6671,7876,9435,10987,12569,13246,M55,2578,107
Borger,1708,3475,5242,6993,7383,8775,10596,12498,14682,15592,M45,5944,994
Warsaw,1282,2543,3804,5069,5350,6334,7615,8983,10372,11013,MSR,612,192
Amsterdam,1624,3205,4786,6392,6778,8059,9720,11452,13311,14076,M60,4128,79
Amsterdam,1679,3384,5089,6794,7179,8570,10452,12476,14831,15824,M55,6143,334
Energie,1676,3405,5134,6923,7325,8833,10970,13249,15576,16591,M55,6577,360
"Bridport, Dorset",1610,3185,4761,6302,6657,7880,9485,11168,12919,13689,M40,3281,645
GVAC,1523,3020,4517,6020,6358,7553,9169,10926,12778,13545,M55,3200,146
Arneke,1456,2816,4176,5542,5842,6908,8288,9761,11437,12123,M35,1343,237
Bettlach,1622,3203,4784,6313,6658,7873,9445,11124,13055,13901,M40,3546,702
Nordhorn,1612,3199,4787,6350,6715,7946,9518,11135,12845,13480,MSR,3015,655
Nordhorn,1817,3603,5389,7198,7628,9086,11065,13225,15483,16462,MSR,6673,1204
Veria,1003,1995,2988,3997,4223,5022,6062,7153,8311,8811,MSR,63,52
Rotterdam,1659,3316,4974,6623,6986,8275,9943,11634,13352,14068,M35,3809,528
Cappelle-la-grande,1444,2853,4263,5713,6044,7228,8865,10964,12766,13560,MSR,2951,637
Nijmegen,1662,3214,4766,6332,6700,7975,9656,11496,13618,14496,M40,4573,886
Krimpen aan den IJssel,1627,3203,4780,6317,6664,7863,9417,10965,12566,13235,M40,2568,514
Duiven,1700,3357,5015,6567,6923,8198,9729,11268,12755,13382,M35,3002,441
Zomergem,1710,3461,5212,7040,7567,8939,10699,12605,14673,15549,MSR,5855,1110
Saint Martin du Mano,1330,2687,4044,5407,5721,6786,8131,9532,11016,11707,M60,997,7
Maurecourt,1568,3060,4552,6076,6435,7729,9550,11513,13446,14297,MSR,4172,848
Capelle aan den IJssel,1922,3841,5761,7680,8111,9586,11513,13238,15128,15850,MSR,6210,1147
Loopgroep Hoorn,2056,4160,6264,8373,8862,10556,12763,15083,17529,18495,M45,7407,1200
the Hague Road Runners,1402,2793,4185,5593,5911,7030,8468,9958,11419,12091,M40,1347,273
Ciko '66,1647,3325,5004,6696,7086,8426,10101,11812,13693,14481,M40,4709,905
Syros Island,1500,2908,4316,5723,6040,7184,8719,10451,12026,12743,MSR,2029,474
Hermoupoli,1499,2907,4315,5720,6033,7119,8480,9883,11295,11892,M35,1185,207
Syros Island,1836,3911,5986,8148,8705,10499,12705,15189,17479,18336,MSR,7331,1307
Alkmaar,1653,3325,4997,6654,7040,8329,9959,11618,13317,14060,M45,3842,694
Cardiff,1274,2557,3841,5148,5446,6503,7885,9302,10824,11478,M45,779,133
Nederename,1313,2584,3855,5121,5408,6415,7743,9119,10629,11277,M35,742,138
Wommelgem,1645,3278,4911,6533,6892,8150,9785,11510,13283,14064,M50,4073,469
Marcq En Baroeul,1543,3052,4562,6074,6421,7634,9194,10861,12529,13219,M50,2633,284
"Ottawa, Ontario",1654,3402,5151,6923,7331,8734,10582,12505,14451,15257,M45,5476,929
Road Runners Etten-Leur,1556,3073,4590,6130,6470,7677,9230,10796,12393,13091,M55,2289,86
Ridderkerk,1635,3303,4972,6672,7064,8447,10363,12552,15334,16344,M50,6575,754
AV Gouda,1526,2974,4422,6018,6352,7507,9031,10737,12640,13470,M50,3033,345
Viborg,1157,2331,3506,4693,4959,5882,7085,8304,9649,10234,M35,268,53
Oliveira do Douro,1389,2763,4137,5539,5859,6954,8349,9751,11175,11763,M35,1077,184
Breda,1741,3361,4981,6617,6976,8232,9837,11416,12998,13680,M40,3369,664
Arnhem,1402,2797,4192,5624,5942,7059,8467,9918,11532,12254,M35,1354,238
Paris,1302,2584,3867,5257,5627,6844,8444,10186,12031,12791,MSR,2021,472
Kinna,1041,2083,3125,4175,4413,5233,6283,7330,8386,8846,M40,68,3
Avantri,1459,2918,4377,5839,6157,7291,8761,10296,11930,12805,M45,1955,366
Klaaswaal,1898,3872,5846,7906,8420,10202,12847,16026,18644,19525,M45,7463,1209
Rotterdam,1650,3293,4937,6613,7095,8360,9959,11678,13353,14090,M40,4209,823
Utrecht,1430,2832,4235,5657,5976,7097,8525,10048,11715,12390,M35,1544,264
Olympus '70,1563,3060,4557,6076,6416,7596,9137,10655,12298,12985,M40,2176,438
Eck en Wiel,1822,3601,5380,7107,7489,8826,10539,12362,14193,14962,M40,5319,997
Capelle aan den IJssel,1773,3465,5157,6857,7242,8588,10296,12156,14430,15333,M40,5770,1060
Gent,1639,3270,4901,6508,6871,8140,9897,11773,13590,14302,MSR,4363,881
Veenendaal,1448,2911,4375,5876,6211,7406,9293,11177,13245,13957,MSR,3584,747
Barendrecht,1497,2916,4335,5780,6114,7261,8759,10294,11914,12637,MSR,1856,436
Bratislava,1796,3648,5501,7514,7991,9625,11768,14053,16324,17191,M60,7035,181
Avantri,1399,2803,4207,5614,5926,7044,8502,10033,11599,12440,M40,1505,305
Loopgroep Aart Stigter,1648,3297,4946,6607,6993,8298,10041,11764,13539,14303,MSR,4327,873
Loopgroep Aart Stigter,1647,3296,4946,6606,6997,8297,10043,11764,13537,14302,M55,4328,207
Nimes,1399,2735,4072,5424,5724,6780,8153,9525,10923,11522,M40,893,184
Paris,1269,2552,3836,5108,5391,6392,7659,8928,10206,10750,MSR,458,155
Bilzen,1480,2950,4421,5908,6244,7411,8954,10559,12270,13011,M40,2447,489
Pallas '93,1365,2795,4225,5775,6122,7420,9137,10965,12802,13511,M40,2845,567
Olympus '70,1268,2537,3807,5065,5349,6340,7637,9048,10583,11189,MSR,642,201
Bovensmilde,1618,3312,5007,6705,7091,8432,10117,11818,13548,14348,M45,4524,804
Warten,1632,3295,4959,6649,7028,8335,10038,11735,13483,14247,M40,4478,876
AV '47,1649,3294,4940,6623,7014,8333,10051,12226,14270,15129,M50,5308,616
Boulogne Sur Mer,1778,3608,5439,7423,7943,9768,12137,14709,17264,18355,MSR,7320,1305
Dublin,1269,2536,3803,5068,5350,6350,7643,8993,10453,11094,M40,611,116
TION,1831,3731,5632,7512,7939,9429,11376,13344,15313,16146,M40,6344,1136
Barendrecht,1871,3817,5763,7682,8111,9590,11516,13430,15449,16321,M60,6616,163
Lemelerveld,1533,2999,4466,5924,6246,7388,8835,10307,11795,12445,M45,1617,294
Palermo,1471,2914,4358,5784,6106,7229,8663,10110,11594,12203,M45,1452,269
Cappelle La Grande,1458,2925,4393,5844,6173,7324,8784,10258,11770,12413,M40,1541,314
Puteaux,1252,2521,3790,5057,5342,6323,7560,8823,10983,11775,MSR,975,260
Westmeerbeek,1599,3198,4798,6411,6771,8047,9753,11478,13436,14214,M40,4266,839
Malden,1542,3119,4697,6233,6567,7740,9192,10640,12172,12847,M45,2232,411
Baincthun,1368,2720,4073,5432,5736,6849,8268,9826,11583,12335,M45,1428,262
Edegem,1493,2960,4427,5904,6238,7406,8925,10616,12323,13043,M40,2396,478
Kalmthout,1389,2751,4113,5480,5783,6845,8234,9716,11246,11885,M50,1172,106
Maidieres,1133,2251,3370,4498,4754,5655,6845,8354,10156,10738,M40,453,87
Energie,1806,3642,5479,7355,7813,9374,11507,13976,16224,17095,M50,6970,804
Deventer,1699,3410,5122,6867,7246,8652,10500,12472,14589,15528,M50,5841,682
Geldrop,1736,3543,5351,7173,7585,9063,10963,13080,15328,16222,M35,6354,764
Bilzen,1262,2539,3817,5096,5383,6381,7690,9085,10601,11201,M45,651,104
PAC,1385,2806,4227,5682,6010,7196,8761,10388,12187,12904,M40,2045,410
Arnhem,1584,3185,4787,6528,7003,8463,10502,12781,15173,16111,M40,6209,1120
De Bilt,1544,3043,4542,5997,6316,7440,8849,10272,11832,12478,M35,1861,307
Newmarket,1511,2961,4412,5920,6309,7542,9139,10821,12664,13427,M35,2921,429
Rotterdam,1431,2788,4145,5524,5827,6897,8277,9672,11190,11835,MSR,1032,271
Spijkenisse,1627,3349,5072,7144,7572,9220,11369,13698,15965,16834,MSR,6705,1207
Sable Sur Sarthe,1505,2973,4441,5894,6218,7352,8795,10249,11716,12344,M50,1582,159
Nijmegen,1509,2964,4419,5855,6171,7272,8660,10043,11417,11984,MSR,1255,310
Vlaardingen,1884,3806,5728,7647,8097,9575,11765,14564,18826,19994,M60,7526,199
Malden,1543,3127,4712,6350,6705,7950,9550,11224,13026,13815,M40,3624,716
Sao Paulo,1222,2427,3632,4860,5132,6084,7346,8623,9992,10669,M35,415,76
PAC,1952,3904,5856,7797,8272,9787,11933,14381,16922,17892,M50,7270,831
Schoonhoven,1505,3003,4502,6131,6518,7932,9771,11818,13915,14818,M35,4811,639
Hendrik-Ido-Ambacht,1610,3220,4831,6438,6794,8061,9794,11574,13448,14208,M45,3944,712
Deinze,1228,2489,3750,5035,5321,6323,7636,8963,10535,11259,M35,680,128
London,1573,3186,4800,6419,6779,8052,9673,11351,13095,13824,M40,3560,706
Delft,1796,3570,5344,7148,7557,8965,10753,12547,14550,15374,M45,5745,960
Tienen,1374,2723,4073,5466,5769,6853,8381,9989,11573,12258,MSR,1404,349
Rotterdam,1892,3814,5737,7983,8521,10330,12636,15125,17695,18771,M60,7442,194
Nieuwerkerk ad IJssel,1627,3205,4784,6395,6761,8013,9644,11309,13061,13789,M40,3348,662
Dordrecht,1730,3363,4997,6623,6980,8218,9864,11561,13321,14049,MSR,4182,850
Castrop-Rauxel,1394,2779,4164,5547,5853,6916,8293,9667,11056,11641,M45,959,176
Itens,1771,3598,5425,7330,7779,9363,11462,14048,16698,17767,M45,7154,1169
AV Castricum,1490,2956,4423,5878,6198,7341,8817,10250,11660,12274,M50,1453,144
Oud-Beijerland,1774,3465,5156,6858,7243,8588,10297,12157,14280,15157,M55,5594,290
Rumbeke,1366,2656,3946,5245,5538,6553,7863,9175,10534,11119,M40,650,124
Stadskanaal,1671,3393,5115,6824,7219,8604,10448,12460,14677,15638,M55,6056,325
Dordrecht,1531,3019,4507,6031,6371,7587,9148,11042,13180,13903,M45,3489,631
Maasrunners,1487,2887,4288,5682,5992,7082,8480,9889,11327,11922,M45,1215,231
Oud-Beijerland,1713,3418,5124,6800,7170,8516,10339,12464,14852,15955,M35,6116,749
Holthees,1656,3319,4983,6651,7040,8343,10018,11693,13376,14106,M50,4225,489
Rotterdam,1934,3826,5718,7678,8146,9857,12076,14399,16651,17583,M50,7174,821
Meulebeke,1652,3278,4904,6520,6877,8125,9714,11293,12893,13586,M40,3048,601
Triathlon,1854,3633,5412,7211,7604,9015,10801,12797,15057,15971,M45,6233,1049
Capelle aan den IJssel,1558,3142,4727,6310,6661,7911,9567,11926,13981,14742,M40,4726,909
Heesch,1504,3039,4574,6101,6445,7684,9298,10997,12839,13566,M45,3220,581
Boevange,1407,2735,4063,5409,5711,6773,8124,9442,10802,11373,M45,781,134
Berkel en Rodenrijs,1501,2949,4398,5890,6214,7329,8797,10396,12044,12796,MSR,2006,470
Madrid,1478,2959,4440,5931,6255,7397,8900,10417,11940,12583,M40,1924,386
Triathlon,1855,3635,5415,7211,7605,9018,10812,12802,15058,16002,M40,6265,1128
Passaat,1574,3095,4616,6177,6534,7786,9397,11106,12990,13716,M40,3274,643
Ilion,1653,3323,4994,6670,7046,8367,10119,11852,13667,14419,M45,4394,775
Duiven,1643,3347,5052,6751,7134,8478,10161,11874,13928,14746,M35,4944,653
AV '47,1535,3033,4531,6015,6345,7515,9033,10587,12249,12995,M50,2370,254
Vught,1439,2882,4326,5786,6114,7282,8816,10409,12122,12920,M40,2201,442
Wijchen,1716,3376,5037,6745,7150,8551,10413,12513,14704,15574,M45,5887,982
Groesbeek,1488,2968,4449,5896,6222,7351,8809,10449,12316,13085,M50,2554,277
Barendrecht,1573,3205,4838,6522,6898,8286,10081,11961,14259,15166,M40,5176,981
Maassluis,1619,3222,4825,6383,6723,7901,9438,10980,12536,13228,MSR,2801,613
Sint Niklaas,1585,3113,4641,6151,6495,7648,9186,10918,12679,13429,M35,3107,453
Ansbach,1682,3390,5099,6829,7227,8613,10464,12530,14653,15558,M50,5773,675
Palermo,1665,3328,4992,6688,7088,8484,10401,13639,17144,18209,M50,7315,837
Creteil,1435,2855,4275,5709,6031,7177,8652,10173,11767,12393,M40,1661,339
Vlissingen,1371,2696,4021,5390,5721,6833,8367,9997,11744,12485,MSR,1580,386
Groningen,1744,3520,5296,7054,7442,8810,10564,12359,14099,14826,M50,5091,593
Zomergem,1238,2500,3762,5027,5307,6293,7558,8829,10132,10676,MSR,496,164
Nivelles,1485,2966,4447,5919,6258,7595,9895,9302,8710,12735,MSR,2035,476
Spirit Oud Beijerland,1436,2840,4244,5655,5971,7069,8477,9886,11306,11912,M40,1206,251
Oranjestad,2384,3836,5288,6705,7019,8136,9562,11041,12638,13322,MSR,2546,566
De Spartaan,1727,3478,5229,7000,7405,8854,10853,12991,15170,16005,M45,6218,1045
Spark,1454,2929,4405,5897,6224,7372,8852,10338,11847,12490,M55,1553,40
Son,1410,2788,4166,5554,5866,6957,8374,9793,11255,11915,M40,1138,234
Bedford,1361,2691,4022,5344,5640,6682,8018,9381,10794,11408,M35,820,148
Maastricht,1466,2818,4171,5583,5919,7099,8665,10623,12645,13483,MSR,3029,658
Malicorne Sur Sarthe,1478,2865,4253,5652,5988,7099,8530,10122,11763,12441,M55,1719,50
Auffargis,1754,3519,5285,7028,7443,8840,10617,12393,14183,14937,M45,4976,872
Bruxelles,1485,2966,4447,5920,6242,7394,8869,10372,11923,12598,MSR,1889,443
Meppel,1593,3124,4655,6153,6484,7642,9119,10615,12146,12787,M35,2143,339
Sable Sur Sarthe,1639,3264,4889,6462,6805,7975,9483,11018,12528,13165,M50,2625,283
De Liemers,1446,2908,4371,5843,6166,7310,8773,10223,11676,12335,M40,1502,304
Ciko '66,1508,2955,4403,5877,6215,7401,8988,10563,12307,13011,M40,2272,455
Delft,2085,4222,6360,8600,9172,11079,13773,16613,19333,20612,MSR,7536,1338
Dordrecht,1758,3499,5241,6950,7322,8652,10357,12020,13785,14561,M50,4818,560
De Liemers,1508,3014,4521,6037,6371,7556,9099,10662,12247,12901,M45,2159,401
Bolsward,1607,3177,4748,6308,6660,7904,9500,11199,12979,13726,MSR,3458,722
Breda,1627,3214,4801,6386,6732,7970,9575,11210,12853,13524,M40,3195,626
Schoten,1778,3481,5185,6865,7245,8537,10164,11731,13239,13975,MSR,4057,828
Lemelerveld,1605,3208,4811,6416,6767,8008,9603,11188,12798,13459,M45,2915,535
SÃo Paulo,1437,2875,4314,5778,6106,7257,8724,10179,11667,12313,M50,1512,150
Beneden-Leeuwen,1672,3338,5005,6696,7084,8429,10133,11810,13473,14224,M45,4359,770
Capelle aan den IJssel,1804,3604,5405,7224,7662,9181,11102,13531,16513,17632,M55,7178,395
Amsterdam,1717,3538,5360,7209,7675,9302,11340,13812,16231,17090,M35,7003,810
Nieuwkoop,1476,2923,4371,5840,6172,7313,8791,10289,11813,12445,M40,1627,333
Nieuwkoop,1484,2928,4373,5842,6174,7419,9234,10869,12601,13304,M40,2690,540
Nieuwkoop,1469,2921,4373,5841,6174,7315,8795,10291,11828,12483,M45,1689,316
Prins Hendrik,1739,3573,5407,7250,7655,9085,10901,12712,14529,15314,M55,5351,276
Huizen,1691,3394,5098,6806,7171,8460,10159,11964,13830,14567,M55,4630,222
PAC,1844,3642,5440,7258,7660,9105,10999,13186,15501,16410,M55,6693,368
Haag Atletiek,1154,2271,3389,4517,4774,5663,6803,7935,9110,9601,M45,141,5
Le Roux,1612,3190,4769,6304,6658,7861,9424,11005,12628,13305,M35,2689,405
Palermo,1665,3328,4992,6686,7079,8420,10111,11847,13750,14725,M55,4873,239
Palermo,1471,2915,4359,5785,6107,7234,8686,10225,11798,12487,M35,1786,294
Hilversum,1515,2981,4448,5960,6304,7517,9110,10693,12368,13316,M40,3187,625
