city,km5,km10,km15,km20,hm,km25,km30,km35,km40,time,cat,place,cat_place
Montevideo,984,1970,2957,3951,4171,4968,6029,7092,8223,8798,MSR,62,51
Kragujevac,950,1926,2902,3882,4078,4868,5843,6821,7799,8228,MSR,26,23
Shantalla Galway,950,1910,2871,3829,4050,4808,5789,6770,7788,8247,MSR,28,25
Kohila Vald,1194,2376,3558,4756,5026,5981,7239,8502,9572,10041,MSR,223,102
Tallinn,1064,2130,3197,4282,4527,5385,6490,7600,8721,9209,MSR,98,68
Belgrade,1041,2083,3125,4174,4413,5221,6248,7270,8302,8745,MSR,59,48
Adis Abeba,935,1890,2845,3808,4026,4786,5767,6742,7752,8234,MSR,27,24
Energie,1596,3179,4763,6338,6689,7913,9500,11068,12663,13335,M50,2680,288
Avantri,1483,2954,4425,5900,6228,7381,8862,10356,11898,12554,M45,1651,304
's Gravenmoer,1424,2861,4298,5750,6081,7291,8814,10429,12139,12862,M50,2030,207
Dordrecht,1684,3385,5086,6819,7210,8595,10416,12373,14429,15348,M55,5380,278
avVN,1540,3018,4496,6009,6339,7528,9027,10655,12603,13360,M55,2732,119
Diomedon,1751,3484,5217,6918,7315,8806,10745,12720,14757,15675,M60,5740,122
ATC '75,1710,3414,5119,6820,7201,8547,10237,12006,13988,14912,M50,5041,589
Rotterdam,1849,3733,5617,7524,7962,9540,11726,14374,17342,18617,M70,7378,17
PAC,1358,2729,4100,5481,5790,6879,8278,9656,11043,11632,M55,865,15
Haarlem,1461,2859,4257,5665,5985,7128,8658,10198,11873,12548,M50,1724,171
Dutch Runners Gold,1786,3565,5344,7122,7524,8895,10679,12539,14455,15219,M50,5602,656
Energie,1980,3989,5999,7998,8431,10005,11961,13942,15905,16719,M45,6716,1116
Fortuna,1772,3521,5270,6997,7391,8846,10820,13103,15241,16144,M45,6310,1059
Vlaardingen,1424,2859,4295,5730,6052,7185,8649,10145,11709,12367,M40,1445,291
PAC,1351,2773,4196,5717,6154,7418,9049,10921,12871,13688,M50,3124,357
Spark,1920,3879,5839,7934,8417,10091,12396,14883,17482,18621,M65,7415,72
Sint Jansteen,1482,2916,4351,5804,6166,7281,8777,10266,11773,12404,M55,1583,43
Venlo,1649,3300,4951,6607,6977,8268,9923,11620,13365,14107,M55,4018,185
Energie,1257,2534,3812,5096,5383,6375,7665,9028,10391,11005,M40,568,104
PAC,1817,3701,5585,7558,8056,9682,11891,14372,16943,18036,M45,7297,1187
Spark,1857,3758,5659,7552,7978,9479,11400,13359,15338,16168,M55,6518,355
PAC,1397,2828,4259,5717,6043,7191,8707,10256,11890,12572,M55,1653,45
AAC '61,1419,2759,4099,5461,5758,6810,8214,9790,11350,12079,M40,1308,268
Energie,1785,3600,5415,7249,7653,9141,11055,13093,15537,16443,M55,6495,354
Pijnenburg,1940,3859,5778,7698,8126,9605,11537,13738,15990,16967,M70,6947,12
avVN,1488,2905,4323,5758,6081,7213,8688,10196,11792,12502,M60,1670,19
PAC,1364,2735,4106,5510,5823,6916,8331,9789,11310,11950,M50,1110,101
Emmeloord,1539,3068,4597,6146,6484,7690,9277,10928,12600,13276,M45,2672,489
Spark,1498,2980,4463,5939,6274,7410,8883,10512,12428,13171,M60,2390,41
avVN,1619,3280,4942,6626,7007,8337,10083,11845,13696,14520,M55,4449,213
PAC,1841,3709,5577,7500,7947,9600,11727,14501,17017,18128,M65,7314,68
Schiedam,1822,3618,5415,7227,7615,8986,10809,13064,15462,16394,M50,6451,740
PAC,1353,2724,4096,5476,5788,6883,8289,9719,11239,11911,M50,1080,98
Vlaardingen,1771,3541,5312,7162,7587,9115,11264,14058,16392,17349,M70,7076,14
Spark,1602,3157,4713,6282,6630,7863,9496,11260,13070,13879,M55,3518,159
Heerjansdam,1525,3081,4637,6243,6613,7872,9542,11294,13255,14064,M55,3696,169
AV Gouda,1525,3149,4773,6342,6692,7952,9528,11140,12737,13463,M60,2784,48
Spark,1590,3201,4812,6441,6806,8082,9764,11589,13590,14415,M55,4277,205
Vlaardingen,1685,3379,5074,6796,7176,8517,10287,12272,14485,15513,M65,5673,46
avVN,1328,2669,4010,5348,5641,6678,8023,9427,10914,11573,M50,832,63
Rotterdam,1490,2931,4372,5869,6207,7428,9055,10788,12554,13299,M60,2514,46
Heenvliet,1457,2921,4386,5854,6174,7405,8902,10408,11969,12615,M60,1747,22
Beesd,1565,3116,4667,6266,6616,7855,9465,11109,12837,13553,M55,2942,135
Fortuna,1637,3322,5007,6710,7093,8433,10157,11910,13727,14491,M50,4433,515
Leusden,1479,2887,4296,5723,6044,7157,8588,10035,11568,12236,M55,1392,34
Ridderkerk,1493,2982,4472,5961,6289,7447,8958,10482,12166,12889,M50,2066,214
avVN,1734,3506,5279,7069,7483,8920,10771,12678,14656,15519,M60,5566,116
Rotterdam,1660,3347,5035,6723,7106,8435,10215,11923,13686,14445,M70,4477,4
Abbenbroek,1616,3209,4803,6417,6785,8026,9644,11260,12949,13685,M55,3291,150
Fortuna,1296,2614,3932,5252,5546,6582,7927,9312,10770,11389,M50,730,52
Loopgroep PK,1254,2505,3757,5020,5299,6288,7552,8834,10185,10766,M45,476,68
Rotterdam,1486,3005,4525,6002,6325,7481,8955,10454,12336,13042,M40,2290,461
Veenendaal,1507,2951,4395,5876,6227,7475,9046,10835,12673,13446,M50,2872,316
Dynamica,1678,3377,5076,6850,7258,8706,10720,12921,15167,16040,M50,6295,729
Ochten,1783,3529,5276,7182,7632,9122,11230,13343,15637,16612,M55,6717,369
Scheldesport,1590,3137,4685,6278,6647,7959,9622,11326,12980,13688,M50,3257,371
Houten,1666,3375,5084,6794,7182,8560,10396,12379,14748,15774,M55,6016,323
THOR,1352,2723,4095,5475,5788,6894,8357,9852,11387,12034,M45,1181,226
Parthenon,1824,3720,5616,7633,8113,9809,12007,14414,16855,17844,M70,7262,16
Schiedam,1500,2941,4382,5849,6175,7331,8805,10281,11838,12491,M55,1642,44
Gouda,1372,2756,4140,5515,5820,6884,8257,9611,10981,11572,M50,838,64
Strijen,1547,3096,4645,6179,6518,7713,9249,10803,12487,13279,M55,2527,105
Spado,1648,3312,4977,6627,7004,8336,10023,11993,14101,14981,M65,5142,38
Hoogvliet Rotterdam,1580,3215,4850,6491,6857,8128,9840,11624,13488,14298,M45,4416,785
AV Gouda,1180,2384,3589,4822,5098,6084,7362,8677,10051,10657,M45,398,48
Dordrecht,1483,2958,4433,5995,6343,7561,9189,10808,12480,13176,M45,2398,439
Spado,1661,3319,4978,6635,7005,8295,9950,11624,13366,14114,M45,3975,720
Aalsmeer,1368,2729,4090,5472,5785,6876,8293,9740,11315,12021,M40,1322,270
Rhoon,1671,3508,5345,7260,7692,9215,11360,13542,15790,16773,M55,6672,367
Hardinxveld-Giessendam,1862,3767,5672,7560,7987,9478,11358,13274,15362,16308,M50,6604,757
Sittard,1649,3252,4856,6471,6839,8130,9787,11483,13226,13979,M60,3617,66
Raamsdonksveer,1700,3338,4976,6631,7035,8355,10031,11848,13706,14516,M40,4852,931
Rotterdam,1588,3135,4683,6192,6522,7725,9248,10799,12415,13104,M35,2343,371
Parthenon,1645,3230,4815,6367,6708,7906,9460,10989,12470,13089,M60,2362,40
Capelle aan den IJssel,1583,3186,4790,6393,6739,7971,9552,11110,12675,13346,M65,2587,8
Spijkenisse,1463,2888,4313,5749,6066,7196,8679,10187,11770,12466,M45,1636,300
Dutch Runners Gold,1657,3311,4966,6637,7017,8359,10159,12188,14433,15407,M45,5603,943
Startbaan,1584,3186,4789,6386,6747,8014,9662,11380,13241,14031,M65,3827,24
Oostvoorne,1619,3247,4875,6600,6959,8248,9986,11851,13972,14912,M35,5056,665
PAC,1804,3619,5435,7354,7803,9309,11290,13463,15943,17080,M65,7004,58
Hoogmade,1571,3142,4714,6322,6679,7971,9680,11460,13357,14218,M40,4066,801
Bodegraven,1551,3138,4726,6289,6649,7919,9576,11372,13249,14103,M55,3728,170
Zuidland,1604,3223,4842,6495,6868,8172,10021,11903,13964,14871,M55,4947,243
PAC,1629,3190,4751,6277,6623,7856,9443,11025,12657,13372,M55,2789,121
Energie,1428,2790,4152,5568,5882,7000,8472,9965,11535,12240,M45,1391,258
Capelle aan den IJssel,1576,3171,4767,6578,7023,8505,10434,12712,14910,15855,M65,5960,49
Rotterdam,1657,3290,4924,6627,7018,8384,10138,11847,13719,14571,M50,4774,554
Parthenon,1295,2605,3916,5242,5538,6592,7979,9393,10846,11493,M45,792,136
Olympus '70,1182,2394,3606,4852,5137,6138,7452,8794,10178,10785,M55,483,5
avVN,1429,2914,4399,5958,6293,7483,9061,10725,12575,13349,M65,2586,7
Hoogvliet Rotterdam,1776,3642,5509,7419,7852,9402,12043,14205,16653,17802,M70,7162,15
Julianadorp,1665,3364,5063,6773,7150,8525,10326,12244,14264,15136,M45,5160,897
Loopgroep PK,1477,2930,4383,5880,6222,7422,8970,10618,12507,13441,M60,2834,50
Haaren,1340,2704,4068,5443,5755,6824,8217,9604,11005,11618,M45,906,169
Achil '87,1664,3407,5150,6817,7200,8570,10319,12260,14397,15145,M50,5250,609
LSV Invictus,1577,3193,4809,6456,6821,8106,9833,11711,13984,14937,M60,4960,96
Friesland,1620,3273,4927,6620,7036,8546,10549,12726,10072,15812,M45,5981,1003
Dutch Runners Gold,1674,3433,5192,7070,7499,9289,11839,14271,16701,17676,M50,7122,817
Barendrecht,1575,3175,4775,6394,6755,8045,9643,11247,12963,13727,M55,3221,147
Hendrik-Ido-Ambacht,1621,3191,4761,6266,6599,7777,9300,11072,12989,13764,M50,3391,386
Fortuna,1246,2499,3752,5007,5287,6271,7530,8776,10038,10582,M40,362,68
De Wielingen,1701,3424,5148,7091,7472,8865,10618,12409,14287,15103,M35,5455,701
PAC,1928,3754,5581,7440,7888,9405,11277,13180,15095,15899,M55,6153,335
Rotterdam,1561,3177,4794,6455,6831,8173,9964,12029,14351,15321,M60,5341,112
Rotterdam,1417,2846,4276,5724,6047,7170,8636,10138,11723,12374,M45,1444,268
Ouderkerk aan den IJssel,1771,3547,5323,7107,7500,8894,10696,12492,14349,15134,M55,5416,281
PEC 1910,1600,3142,4684,6185,6523,7722,9259,10825,12405,13075,M50,2348,253
Attila,1522,2968,4414,5883,6219,7369,8839,10277,11774,12401,M45,1657,306
Rozenburg Zh,1615,3184,4754,6316,6667,7902,9475,11071,12771,13488,M45,2883,528
Halsteren,1656,3364,5073,7074,7538,9370,11945,14586,17170,18260,M45,7328,1190
LVA Plantaris,1652,3267,4882,6503,6880,8221,9956,11670,13488,14304,M45,4218,755
Noordhoek,1557,3133,4709,6288,6639,7874,9470,11086,12698,13388,M50,2695,289
Diomedon,1639,3234,4829,6383,6738,7965,9617,11349,13208,13994,M45,3576,647
Parthenon,1799,3656,5513,7418,7849,9337,11344,13405,15535,16467,M60,6481,153
Loopgroep PK,1609,3306,5003,6879,7283,8794,10832,13016,15183,16021,M65,6098,52
Wateringen,1599,3159,4720,6335,6715,7997,9646,11348,13160,13958,M55,3636,164
Maasland,1464,2921,4379,5844,6181,7346,8839,10380,12048,12757,M55,2109,75
Leiden,1627,3203,4779,6345,6690,7921,9555,11259,13139,13970,M45,3645,664
Spijkenisse,1617,3085,4554,6074,6424,7647,9340,11228,13197,14071,M50,3764,428
Dutch Runners Gold,1929,3912,5895,7925,8389,9954,11931,13821,15809,16663,M60,6750,172
